sequenceID	gb_subtype	rec_subtype	strain	gb_segment	rec_segment	iso_host	iso_source	iso_country	lab_host	iso_year	iso_month	iso_day	length	pubmed_id
D63473	-	-	C/Yamagata/3/88	-	4	-	-	-	-	-	-	-	1926	8627255
D63503	-	-	C/Yamagata/4/88	-	4	-	-	-	-	-	-	-	1976	1641987
D87368	-	-	C/Miyagi/2/92	-	1	-	-	-	-	-	-	-	469	9140195
D87369	-	-	C/Miyagi/3/91	-	1	-	-	-	-	-	-	-	469	9140195
D87370	-	-	C/Miyagi/9/91	-	1	-	-	-	-	-	-	-	469	9140195
D87371	-	-	C/Yamagata/10/89	-	1	-	-	-	-	-	-	-	469	9140195
D87372	-	-	C/Miyagi/2/92	-	2	-	-	-	-	-	-	-	377	9140195
D87373	-	-	C/Miyagi/3/91	-	2	-	-	-	-	-	-	-	377	9140195
D87374	-	-	C/Miyagi/9/91	-	2	-	-	-	-	-	-	-	377	9140195
D87375	-	-	C/Yamagata/10/89	-	2	-	-	-	-	-	-	-	377	9140195
D87376	-	-	C/Miyagi/2/92	-	3	-	-	-	-	-	-	-	372	9140195
D87377	-	-	C/Miyagi/3/91	-	3	-	-	-	-	-	-	-	372	9140195
D87378	-	-	C/Miyagi/9/91	-	3	-	-	-	-	-	-	-	372	9140195
D87379	-	-	C/Yamagata/10/89	-	3	-	-	-	-	-	-	-	372	9140195
D87380	-	-	C/Miyagi/2/92	-	5	-	-	-	-	-	-	-	600	9140195
D87381	-	-	C/Miyagi/3/91	-	5	-	-	-	-	-	-	-	600	9140195
D87382	-	-	C/Miyagi/9/91	-	5	-	-	-	-	-	-	-	600	9140195
D87383	-	-	C/Yamagata/10/89	-	5	-	-	-	-	-	-	-	600	9140195
D87384	-	-	C/Miyagi/2/92	-	6	-	-	-	-	-	-	-	371	9140195
D87385	-	-	C/Miyagi/3/91	-	6	-	-	-	-	-	-	-	371	9140195
D87386	-	-	C/Miyagi/9/91	-	6	-	-	-	-	-	-	-	371	9140195
D87387	-	-	C/Yamagata/10/89	-	6	-	-	-	-	-	-	-	371	9140195
D87388	-	-	C/Miyagi/2/92	-	7	-	-	-	-	-	-	-	341	9140195
D87389	-	-	C/Miyagi/3/91	-	7	-	-	-	-	-	-	-	341	9140195
D87390	-	-	C/Miyagi/9/91	-	7	-	-	-	-	-	-	-	341	9140195
D87391	-	-	C/Yamagata/10/89	-	7	-	-	-	-	-	-	-	341	9140195
D87392	-	-	C/Miyagi/2/92	-	4	-	-	-	-	-	-	-	1987	9140195
D87393	-	-	C/Miyagi/3/91	-	4	-	-	-	-	-	-	-	1987	9140195
D87394	-	-	C/Miyagi/9/91	-	4	-	-	-	-	-	-	-	2030	9140195
D88427	-	-	C/Miyagi/2/93	4	4	-	-	-	-	-	-	-	1983	-
D88428	-	-	C/Yamagata/4/89	4	4	-	-	-	-	-	-	-	2012	-
DD087470	-	-	-	-	-	-	-	-	-	-	-	-	12	-
DD087476	-	-	-	-	-	-	-	-	-	-	-	-	13	-
EU086908	-	-	CaenBO1	-	4	-	-	France	-	2004	-	-	1729	18551600
EU086909	-	-	CaenJO2	-	4	-	-	France	-	2004	-	-	1729	18551600
EU086910	-	-	CaenME1	-	4	-	-	France	-	2005	-	-	1729	18551600
EU086911	-	-	CaenHE2	-	4	-	-	France	-	2005	-	-	1729	18551600
EU086912	-	-	CaenMA3	-	4	-	-	France	-	2005	-	-	1729	18551600
EU086913	-	-	CaenCA4	-	4	-	-	France	-	2005	-	-	1729	18551600
EU086914	-	-	CaenMA5	-	4	-	-	France	-	2005	-	-	1729	18551600
EU086915	-	-	CaenBA1	-	4	-	-	France	-	2007	-	-	1729	18551600
EU086916	-	-	CaenBR1	-	4	-	-	France	-	2006	-	-	1729	18551600
EU086917	-	-	CaenLE2	-	4	-	-	France	-	2006	-	-	1729	18551600
FR671420	-	-	-	1	1	-	-	-	-	-	-	-	2365	20838663
FR671421	-	-	-	2	2	-	-	-	-	-	-	-	2363	20838663
FR671422	-	-	-	4	4	-	-	-	-	-	-	-	2073	20838663
FR671423	-	-	-	5	5	-	-	-	-	-	-	-	1802	20838663
FR671424	-	-	-	6	6	-	-	-	-	-	-	-	1180	20838663
FR671425	-	-	-	7	7	-	-	-	-	-	-	-	914	20838663
FZ434973	-	-	-	-	1	-	-	-	-	-	-	-	2325	-
GM968015	-	-	-	-	6	-	-	-	-	-	-	-	1125	-
GM968016	-	-	-	-	5	-	-	-	-	-	-	-	1807	-
GM968017	-	-	-	-	4	-	-	-	-	-	-	-	1968	-
GM968018	-	-	-	-	3	-	-	-	-	-	-	-	2130	-
GM968019	-	-	-	-	2	-	-	-	-	-	-	-	2265	-
GM968020	-	-	-	-	1	-	-	-	-	-	-	-	2325	-
GM968021	-	-	-	-	7	-	-	-	-	-	-	-	881	-
GN354166	-	-	-	-	7	-	-	-	-	-	-	-	60	-
GN354167	-	-	-	-	7	-	-	-	-	-	-	-	60	-
GN354168	-	-	-	-	7	-	-	-	-	-	-	-	60	-
GN354169	-	-	-	-	7	-	-	-	-	-	-	-	60	-
GN354170	-	-	-	-	7	-	-	-	-	-	-	-	60	-
GN354171	-	-	-	-	7	-	-	-	-	-	-	-	60	-
GN358325	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358326	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358327	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358328	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358329	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358330	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358331	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358332	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358333	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358334	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358335	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358336	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358337	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358338	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358339	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358340	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358341	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358342	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358343	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358344	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358345	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358346	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358347	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358348	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358349	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358350	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358351	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358352	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358353	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358354	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358355	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358356	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358357	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358358	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358359	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358360	-	-	-	-	6	-	-	-	-	-	-	-	60	-
GN358361	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358362	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358363	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358364	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358365	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358366	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358367	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358368	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358369	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358370	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358371	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358372	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358373	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358374	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358375	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358376	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358377	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358378	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358379	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358380	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358381	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358382	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358383	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358384	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358385	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358386	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358387	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358388	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358389	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358390	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358391	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358392	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358393	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358394	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358395	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358396	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358397	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358398	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358399	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358400	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358401	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358402	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358403	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358404	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358405	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358406	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358407	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358408	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358409	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358410	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358411	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358412	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358413	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358414	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358415	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358416	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358417	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358418	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358419	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358420	-	-	-	-	5	-	-	-	-	-	-	-	60	-
GN358421	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358422	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358423	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358424	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358425	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358426	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358427	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358428	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358429	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358430	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358431	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358432	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358433	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358434	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358435	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358436	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358437	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358438	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358439	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358440	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358441	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358442	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358443	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358444	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358445	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358446	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358447	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358448	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358449	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358450	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358451	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358452	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358453	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358454	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358455	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358456	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358457	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358458	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358459	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358460	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358461	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358462	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358463	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358464	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358465	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358466	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358467	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358468	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358469	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358470	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358471	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358472	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358473	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358474	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358475	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358476	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358477	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358478	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358479	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358480	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358481	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358482	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358483	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358484	-	-	-	-	4	-	-	-	-	-	-	-	60	-
GN358485	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358486	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358487	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358488	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358489	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358490	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358491	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358492	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358493	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358494	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358495	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358496	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358497	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358498	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358499	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358500	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358501	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358502	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358503	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358504	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358505	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358506	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358507	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358508	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358509	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358510	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358511	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358512	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358513	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358514	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358515	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358516	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358517	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358518	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358519	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358520	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358521	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358522	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358523	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358524	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358525	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358526	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358527	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358528	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358529	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358530	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358531	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358532	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358533	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358534	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358535	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358536	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358537	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358538	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358539	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358540	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358541	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358542	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358543	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358544	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358545	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358546	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358547	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358548	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358549	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358550	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358551	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358552	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358553	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358554	-	-	-	-	3	-	-	-	-	-	-	-	60	-
GN358555	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358556	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358557	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358558	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358559	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358560	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358561	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358562	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358563	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358564	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358565	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358566	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358567	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358568	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358569	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358570	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358571	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358572	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358573	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358574	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358575	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358576	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358577	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358578	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358579	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358580	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358581	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358582	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358583	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358584	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358585	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358586	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358587	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358588	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358589	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358590	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358591	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358592	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358593	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358594	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358595	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358596	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358597	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358598	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358599	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358600	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358601	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358602	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358603	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358604	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358605	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358606	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358607	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358608	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358609	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358610	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358611	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358612	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358613	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358614	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358615	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358616	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358617	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358618	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358619	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358620	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358621	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358622	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358623	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358624	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358625	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358626	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358627	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358628	-	-	-	-	2	-	-	-	-	-	-	-	60	-
GN358629	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358630	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358631	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358632	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358633	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358634	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358635	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358636	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358637	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358638	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358639	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358640	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358641	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358642	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358643	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358644	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358645	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358646	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358647	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358648	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358649	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358650	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358651	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358652	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358653	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358654	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358655	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358656	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358657	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358658	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358659	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358660	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358661	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358662	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358663	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358664	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358665	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358666	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358667	-	-	-	-	1	-	-	-	-	-	-	-	60	-
GN358668	-	-	-	-	1	-	-	-	-	-	-	-	60	-
