strain_id	complete	seq_count	iso_year	iso_month	iso_day	iso_host	iso_source	iso_country	iso_region	segment1_accession	segment2_accession	segment3_accession	segment4_accession	segment5_accession	segment6_accession	segment7_accession	segment_1_counts	segment_2_counts	segment_3_counts	segment_4_counts	segment_5_counts	segment_6_counts	segment_7_counts																							
C/Miyagi/3/92	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Johannesburg/4/67	FALSE	7	1967	-	-	Homo sapiens	-	South Africa	NULL	LC123286	LC123388	LC123490	0	AB684308	LC123816	0	1	1	1	0	1	1	0																							
C/Thailand/B12983_NS_gene/2015	FALSE	1	2015	SEP	25	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	0	MK480594	0	0	0	0	0	0	1																							
C/Yamagata/4/92	FALSE	7	1992	-	-	Homo sapiens	-	Japan	Yamagata	LC123312	LC123414	LC123516	0	LC123748	LC123821	LC124986	1	1	1	0	1	1	1																							
C/Minnesota/01/2015	FALSE	2	2015	JAN	1	Homo sapiens	-	USA	Minnesota	0	0	0	CY239418	0	CY239419	0	0	0	0	1	0	1	0																							
C/Bovine/Montana/22/2016	FALSE	1	2016	NOV	15	Bos taurus	nasal swab	USA	Montana	0	0	0	0	0	MH421873	0	0	0	0	0	0	1	0																							
C/Yamagata/8/2002	FALSE	1	2002	-	-	Homo sapience	-	Japan	Yamagata	0	0	0	LC630941	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/5/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Sao Paulo/378/82	FALSE	11	1982	-	-	Homo sapiens	-	Brazil	NULL	LC123305	LC123407	LC123509	0	LC123741	0	0	1	1	1	0	1	0	0																							
C/Miyagi/4/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Taylor/1233/1947	FALSE	6	1947	-	-	Homo sapiens	-	USA	NULL	LC123283	LC123385	LC123487	LC122632	LC123722	0	LC124977	1	1	1	1	1	0	1																							
C/Yamagata/2/98	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/3/88	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/03/2015	FALSE	2	2015	JAN	14	Homo sapiens	-	USA	Minnesota	0	0	0	CY239422	0	CY239423	0	0	0	0	1	0	1	0																							
C/Thailand/CN38_NS_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	0	0	MK480601	0	0	0	0	0	0	1																							
C/Sendai/TU2/2008	FALSE	7	2008	-	-	Homo sapiens	-	Japan	"Miyagi, Sendai"	AB979708	AB980266	AB981326	AB978554	0	AB982135	AB985620	1	1	1	1	0	1	1																							
C/Kaohsiung/95111003/2006	FALSE	1	2006	NOV	10	Homo sapiens	throat swab	Taiwan	Kaohsiung	0	0	0	MH185829	0	0	0	0	0	0	1	0	0	0																							
C/Bovine/Kansas/20/2017	FALSE	1	2017	OCT	10	Bos taurus	lung	USA	Kansas	0	0	0	0	0	MH421871	0	0	0	0	0	0	1	0																							
C/Yamagata/6/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385862	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/02/2015	FALSE	2	2015	JAN	9	Homo sapiens	-	USA	Minnesota	0	0	0	CY239421	0	CY239420	0	0	0	0	1	0	1	0																							
C/Thailand/c5395_P3_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	MK480584	0	0	0	0	0	0	1	0	0	0	0																							
C/Yamagata/19/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512504	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/27/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512493	0	0	0	0	0	0	1	0	0	0																							
C/Leyte/2/2011	FALSE	7	2011	-	-	Homo sapiens	-	Philippines	Leyte	AB979705	AB980263	AB981323	AB978549	0	AB982132	AB985617	1	1	1	1	0	1	1																							
C/Catalonia/2072/2009	FALSE	1	2009	DEC	9	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748626	0	0	0	0	0	0	1	0	0	0																							
C/Catalonia/1754/2009	FALSE	1	2009	NOV	9	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748624	0	0	0	0	0	0	1	0	0	0																							
C/Beijing/115/81	FALSE	3	-	-	-	Homo sapiens	-	-	NULL	D78405	D78406	D78404	0	0	0	0	1	1	1	0	0	0	0																							
C/Thailand/c5395_NP_gene/2015	FALSE	1	2015	JAN	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	0	0	MK480581	0	0	0	0	0	0	1	0	0																							
C/Leyte/2/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Leyte	AB979717	AB980275	AB981332	AB978564	0	AB982144	AB985629	1	1	1	1	0	1	1																							
C/Milan/976/2010	FALSE	1	2010	-	-	Homo sapiens	nasopharyngeal swab	Italy	NULL	0	0	0	JX129184	0	0	0	0	0	0	1	0	0	0																							
C/Biliran/3/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Biliran	AB979715	AB980273	AB981336	AB978562	0	AB982142	AB985627	1	1	1	1	0	1	1																							
C/Yamagata/24/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385864	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/21/2004	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/04/2015	FALSE	2	2015	FEB	6	Homo sapiens	-	USA	Minnesota	0	0	0	CY239424	0	CY239425	0	0	0	0	1	0	1	0																							
C/Yamagata/31/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512506	0	0	0	0	0	0	1	0	0	0																							
C/Hyogo/1/83	FALSE	2	-	-	-	Homo sapiens	-	-	NULL	0	0	0	0	0	AB000610	0	0	0	0	0	0	1	0																							
C/JHB/1/66	FALSE	1	-	-	-	-	-	South Africa	NULL	0	0	0	AY880247	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/4/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385861	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/4/98	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/09/2015	FALSE	2	2015	MAR	10	Homo sapiens	-	USA	Minnesota	0	0	0	CY239435	0	CY239434	0	0	0	0	1	0	1	0																							
C/Catalonia/1457/2009	FALSE	1	2009	SEP	29	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748633	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/20/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/8/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Kaohsiung/106051925/2014	FALSE	1	2014	MAY	19	Homo sapiens	throat swab	Taiwan	Kaohsiung	0	0	0	MH185832	0	0	0	0	0	0	1	0	0	0																							
C/Kaohsiung/96060801C/2007	FALSE	1	2007	JUN	8	Homo sapiens	throat swab	Taiwan	Kaohsiung	0	0	0	MH185830	0	0	0	0	0	0	1	0	0	0																							
C/Minnesota/28/2015	FALSE	2	2015	FEB	8	Homo sapiens	-	USA	Minnesota	0	0	0	CY239471	0	CY239472	0	0	0	0	1	0	1	0																							
C/Yamagata/32/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123377	LC123479	LC123581	0	LC123807	LC123875	LC125039	1	1	1	0	1	1	1																							
C/Alberta/3502/2011	FALSE	2	2011	MAR	18	Homo sapiens	auger suction	Canada	Alberta	0	0	0	JX080411	0	JX133153	0	0	0	0	1	0	1	0																							
Aichi/1/81	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	D16260	0	0	0	0	0	0	1	0																							
C/Yamagata/14/2004	FALSE	7	2004	-	-	Homo sapiens	-	Japan	Yamagata	LC123333	LC123435	LC123537	0	LC123767	LC123831	LC124995	1	1	1	0	1	1	1																							
C/Bovine/Oklahoma/2/2017	FALSE	1	2017	DEC	1	Bos taurus	nasal swab	USA	Oklahoma	0	0	0	0	0	MH421865	0	0	0	0	0	0	1	0																							
C/Saitama/1/2004	FALSE	1	-	-	-	-	-	Japan	Saitama	0	0	0	AB252160	0	0	0	0	0	0	1	0	0	0																							
C/Catalonia/1284/2009	FALSE	1	2009	AUG	26	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748630	0	0	0	0	0	0	1	0	0	0																							
C/Leyte/1/2013	FALSE	7	2013	-	-	Homo sapiens	-	Philippines	Leyte	AB979716	AB980274	AB981331	AB978563	0	AB982143	AB985628	1	1	1	1	0	1	1																							
C/Yamagata/35/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC385866	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/2/2000	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Kaohsiung/107020729/2018	FALSE	1	2018	FEB	7	Homo sapiens	throat swab	Taiwan	Kaohsiung	0	0	0	MH185834	0	0	0	0	0	0	1	0	0	0																							
C/Leyte/1/2011	FALSE	7	2011	-	-	Homo sapiens	-	Philippines	Leyte	AB979704	AB980262	AB981322	AB978548	0	AB982131	AB985616	1	1	1	1	0	1	1																							
C/Milan/550/2008	FALSE	1	2008	-	-	Homo sapiens	nasopharyngeal swab	Italy	NULL	0	0	0	JX129181	0	0	0	0	0	0	1	0	0	0																							
C/Miyagi/3/97	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Minnesota/10/2015	FALSE	2	2015	MAR	9	Homo sapiens	-	USA	Minnesota	0	0	0	CY239436	0	CY239437	0	0	0	0	1	0	1	0																							
C/Thailand/CN38_P3_gene/2017	FALSE	1	2017	MAR	7	Homo sapiens	nasal swab	Thailand	NULL	0	0	MK480605	0	0	0	0	0	0	1	0	0	0	0																							
C/Yamagata/7/81	FALSE	7	1981	-	-	Homo sapiens	-	Japan	Yamagata	LC123301	LC123403	LC123505	0	LC123737	LC123819	LC124983	1	1	1	0	1	1	1																							
C/Minnesota/07/2015	FALSE	2	2015	FEB	18	Homo sapiens	-	USA	Minnesota	0	0	0	CY239430	0	CY239431	0	0	0	0	1	0	1	0																							
C/Mie/231/2012	FALSE	1	2012	-	-	Homo sapiens	-	Japan	Mie	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Sendai/TU1/2012	FALSE	7	2012	-	-	Homo sapiens	-	Japan	"Miyagi, Sendai"	AB979711	AB980269	AB981329	AB978558	0	AB982138	AB985623	1	1	1	1	0	1	1																							
C/Catalonia/1824/2009	FALSE	1	2009	NOV	11	Homo sapiens	nasopharyngeal swab	Spain	Catalonia	0	0	0	HM748623	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/35/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123379	LC123481	LC123583	0	LC123809	LC123877	LC125041	1	1	1	0	1	1	1																							
CaenCA4	FALSE	1	2005	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Alberta/21100/2010	FALSE	1	2010	DEC	21	Homo sapiens	nasopharyngeal swab	Canada	Alberta	0	0	0	0	0	JX133156	0	0	0	0	0	0	1	0																							
C/Yamagata/4/88	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Miyagi/3/94	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Miyagi/2/94	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/1/90	FALSE	1	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/3/96	FALSE	7	-	-	-	-	-	-	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Bovine/Kansas/21/2017	FALSE	1	2017	NOV	22	Bos taurus	lung	USA	Kansas	0	0	0	0	0	MH421872	0	0	0	0	0	0	1	0																							
C/Yamagata/38/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512507	0	0	0	0	0	0	1	0	0	0																							
C/Alberta/3087/2011	FALSE	2	2011	MAR	4	Homo sapiens	auger suction	Canada	Alberta	0	0	0	JX080410	0	JX133152	0	0	0	0	1	0	1	0																							
C/Yamagata/16/2014	FALSE	7	2014	-	-	Homo sapiens	-	Japan	Yamagata	LC123375	LC123477	LC123579	0	LC123805	LC123873	LC125037	1	1	1	0	1	1	1																							
C/Yamagata/1/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512499	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/14/2006	FALSE	7	2006	-	-	Homo sapiens	-	Japan	Yamagata	LC123352	LC123454	LC123556	0	LC123784	LC123850	LC125014	1	1	1	0	1	1	1																							
CaenJO2	FALSE	1	2004	-	-	-	-	France	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0																							
C/Yamagata/32/2016	FALSE	1	2016	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512495	0	0	0	0	0	0	1	0	0	0																							
C/Yamagata/2/2010	FALSE	7	2010	FEB	9	Homo sapiens	-	Japan	Yamagata	LC123361	LC123463	LC123565	0	AB684316	LC123859	LC125023	1	1	1	0	1	1	1																							
C/Alberta/2616/2011	FALSE	1	2011	FEB	25	Homo sapiens	auger suction	Canada	Alberta	0	0	0	0	0	JX133150	0	0	0	0	0	0	1	0																							
C/Yamagata/23/2018	FALSE	1	2018	-	-	Homo sapiens	-	Japan	Yamagata	0	0	0	LC512505	0	0	0	0	0	0	1	0	0	0																							
